training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
78.868546,0.3258052,0.035140995,0.17914802,-78.19133,78.19133,0.7294865,0.2964763,-78.36422,-101.74887,5.179121,-4.6561656,50.801636,0.009927928638458252,5104.83260846138,425000
84.87792,0.41283876,0.033969857,0.19422469,-84.12538,84.12538,1.5902178,-0.054274976,-84.24667,-102.24023,35.90875,-34.456577,292.1726,0.01013708004951477,5155.518030166626,430000
83.55385,0.40153733,0.034436017,0.18225619,-82.80795,82.80795,0.39311165,0.04699716,-83.11514,-102.17358,3.3942747,-4.820499,49.274776,0.009930831956863404,5205.17221736908,435000
79.662834,0.40115818,0.031751163,0.17823446,-78.94417,78.94417,0.56932884,0.6605123,-79.11932,-102.32598,4.2661347,-5.8936353,47.662285,0.010153885984420777,5255.94167971611,440000
83.04548,0.39651126,0.033874936,0.19843708,-82.31022,82.31022,0.4902973,0.0069574416,-82.52298,-101.529686,1.8157011,-1.0136006,25.822836,0.010070379638671875,5306.293601036072,445000
79.23924,0.38823655,0.04147438,0.17932151,-78.436264,78.436264,0.38964465,0.49659663,-78.67427,-101.459526,1.1236379,-1.9430838,26.015976,0.009947553205490112,5356.031390666962,450000
83.38661,0.372688,0.03132223,0.19619222,-82.7007,82.7007,0.49084967,0.38359,-82.83226,-101.491585,1.5256919,-2.6713548,30.294188,0.010046349525451661,5406.263162136078,455000
80.13388,0.38208622,0.028967794,0.18051174,-79.46212,79.46212,0.5167401,0.219575,-79.617004,-101.95649,7.872034,-3.911038,56.7581,0.009794836187362672,5455.237366676331,460000
82.813545,0.36128765,0.027499335,0.20166151,-82.17726,82.17726,0.34517506,-0.006334871,-82.37429,-101.66006,1.5660584,-2.060912,31.841057,0.009934596014022827,5504.910375833511,465000
80.64799,0.35548237,0.026932698,0.17255637,-80.02318,80.02318,0.31097502,0.3441164,-80.13164,-101.494644,0.7817714,-1.6532578,26.380901,0.009553716659545899,5552.678982496262,470000
83.81126,0.41485888,0.030053228,0.19796832,-83.09586,83.09586,0.38381445,0.54032254,-83.293655,-101.471535,9.084923,-5.509273,73.87191,0.009385559654235839,5599.60681438446,475000
83.03045,0.36752707,0.031351347,0.21918541,-82.34941,82.34941,0.26916844,0.47303838,-82.5119,-102.28713,0.6550174,-1.473637,23.572556,0.010050803136825562,5649.860851287842,480000
81.21341,0.4278746,0.033946086,0.22074679,-80.446075,80.446075,0.3289425,-6.1235294,-80.58417,-101.74497,1.9178803,-3.1988907,33.65589,0.009944576168060302,5699.583755970001,485000
83.91103,0.424092,0.03558372,0.18814228,-83.1311,83.1311,0.5174755,-0.047631055,-83.438156,-102.18483,3.724507,-3.319419,44.4983,0.010125446796417236,5750.211010932922,490000
83.60466,0.42923003,0.028187547,0.20987864,-82.893555,82.893555,0.2634762,0.37863007,-83.01546,-101.53301,2.6399682,-2.7666395,31.88443,0.010009811162948608,5800.260100364685,495000
81.68094,0.40430588,0.034703664,0.179524,-80.929596,80.929596,0.35383788,0.2554925,-81.03595,-101.58964,0.79057527,-1.6538182,25.328585,0.00998375210762024,5850.1788918972015,500000
